model_key,scenario,policy_key,runs,requests_total_recorded,requests_ok,requests_failed,error_rate,latency_p50_ms,latency_p95_ms,ttft_p50_ms,ttft_p95_ms,avg_waiting_requests,max_waiting_requests,avg_running_requests,max_running_requests,avg_generation_toks_per_s,max_generation_toks_per_s,avg_kv_cache_usage_perc,max_kv_cache_usage_perc,avg_ready_replicas,min_ready_replicas,max_ready_replicas,replica_change_events
qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,7,15.857142857142858,9.142857142857142,6.714285714285714,0.4444444444444444,26403.372824192047,32698.83106648922,4063.765287399292,6737.380757927895,,,,,,,,,1.0,1.0,1.0,0.0
qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,7,15.428571428571429,2.5714285714285716,12.857142857142858,0.8571428571428571,24895.82061767578,27390.14881849289,3453.681230545044,5650.913786888119,,,,,,,,,1.0,1.0,1.0,0.0
