request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
k5bxj2pop8,queue-pressure,pressure_peak,completions,1776124711.9204059,1776124757.91994,45999.53,45999.53,13531,0,240,0,0,
39tex8fsv8,queue-pressure,queue_build,completions,1776124558.5703907,1776124603.9189775,45348.59,45348.59,14005,0,316,0,0,
otohp6vz41,queue-pressure,queue_build,completions,1776124601.9215715,1776124647.9210968,45999.53,45999.53,9897,0,298,0,0,
qclpoxko8g,queue-pressure,queue_build,completions,1776124691.9202445,1776124737.9206662,46000.42,46000.42,12267,0,196,0,0,
wrpbjek5rb,queue-pressure,queue_build,completions,1776124624.9197607,1776124670.9195035,45999.74,45999.74,10687,0,284,0,0,
j60fkhmy4s,queue-pressure,queue_build,completions,1776124568.2675955,1776124613.9199762,45652.38,45652.38,14953,0,226,0,0,
am148p0tvh,queue-pressure,queue_build,completions,1776124602.921081,1776124648.9198525,45998.77,45998.77,11951,0,314,0,0,
3uvulemx15,queue-pressure,queue_build,completions,1776124665.9201403,1776124711.920169,46000.03,46000.03,10213,0,287,0,0,
37d4ivsolm,queue-pressure,queue_build,completions,1776124692.920222,1776124738.9207833,46000.56,46000.56,15269,0,309,0,0,
uzzpqk51fp,queue-pressure,warmup,completions,1776124528.7036083,1776124573.9299405,45226.33,45226.33,12583,0,198,0,0,
myx444nlz1,queue-pressure,queue_build,completions,1776124647.9213138,1776124693.9195735,45998.26,45998.26,15427,0,259,0,0,
nmkza3oa52,queue-pressure,queue_build,completions,1776124651.9209828,1776124697.9197125,45998.73,45998.73,10213,0,252,0,0,
x2cyos0fb4,queue-pressure,pressure_peak,completions,1776124716.9201858,1776124762.921529,46001.34,46001.34,12267,0,262,0,0,
zlaoi4e8xf,queue-pressure,queue_build,completions,1776124629.9201941,1776124675.9193578,45999.16,45999.16,13373,0,253,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776124523.6956174,1776124568.9201393,45224.52,45224.52,13373,0,220,0,0,
utoxie0rnu,queue-pressure,pressure_peak,completions,1776124726.9200287,1776124772.9244814,46004.45,46004.45,14163,0,211,0,0,
92irmuq9e5,queue-pressure,pressure_peak,completions,1776124737.9209068,1776124783.9209037,46000.00,46000.00,11003,0,223,0,0,
cwtg1m8xfd,queue-pressure,queue_build,completions,1776124693.9199007,1776124739.921908,46002.01,46002.01,11635,0,235,0,0,
pbmyofqewa,queue-pressure,queue_build,completions,1776124602.922121,1776124648.9197173,45997.60,45997.60,10845,0,261,0,0,
