request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
ckw5ngcx19,queue-pressure,warmup,completions,1776179451.6654112,1776179751.9201543,300254.74,300254.74,15111,0,288,0,0,
2oc6uzhr5x,queue-pressure,queue_build,completions,1776179466.6430185,1776179716.1953092,249552.29,3658.12,14637,1020,200,200,1,
5nq4fmyzyc,queue-pressure,warmup,completions,1776179456.6778357,1776179756.9200537,300242.22,300242.22,14795,0,251,0,0,
uzzpqk51fp,queue-pressure,warmup,completions,1776179441.6458397,1776179666.6917424,225045.90,1641.32,12583,1012,198,200,1,
tiqj7yhl1c,queue-pressure,warmup,completions,1776179461.689301,1776179761.3790548,299689.75,3908.15,13373,1198,235,200,1,
f0t0pvn9er,queue-pressure,queue_build,completions,1776179467.4485073,1776179767.920164,300471.66,300471.66,10371,0,259,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776179436.6366162,1776179688.101383,251464.77,2442.27,13373,1124,220,200,1,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776179666.6925294,1776179966.922488,300229.96,300229.96,14163,0,204,0,0,
h1dnmmjbqe,queue-pressure,warmup,completions,1776179446.6537716,1776179729.8771114,283223.34,2539.36,11319,1178,231,200,1,
