request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
ptk93tyt7d,queue-pressure,queue_build,completions,1776123872.1192596,1776123917.919876,45800.62,45800.62,11319,0,232,0,0,
k5bxj2pop8,queue-pressure,pressure_peak,completions,1776124015.9204667,1776124061.9201941,45999.73,45999.73,13531,0,240,0,0,
oqw9ja2m0w,queue-pressure,pressure_peak,completions,1776124013.9203312,1776124059.9200282,45999.70,45999.70,12583,0,197,0,0,
kadejnobbu,queue-pressure,pressure_peak,completions,1776124050.9202864,1776124096.9211292,46000.84,46000.84,14953,0,312,0,0,
39tex8fsv8,queue-pressure,queue_build,completions,1776123863.211369,1776123908.919943,45708.57,45708.57,14005,0,316,0,0,
otohp6vz41,queue-pressure,queue_build,completions,1776123905.9210193,1776123951.9206824,45999.66,45999.66,9897,0,298,0,0,
qclpoxko8g,queue-pressure,queue_build,completions,1776123996.9200835,1776124042.9199297,45999.85,45999.85,12267,0,196,0,0,
92irmuq9e5,queue-pressure,pressure_peak,completions,1776124042.9201562,1776124088.9203715,46000.22,46000.22,11003,0,223,0,0,
qll8os9xto,queue-pressure,queue_build,completions,1776123925.9198418,1776123971.9199562,46000.11,46000.11,14163,0,201,0,0,
3uvulemx15,queue-pressure,queue_build,completions,1776123969.9198902,1776124015.9202673,46000.38,46000.38,10213,0,287,0,0,
j60fkhmy4s,queue-pressure,queue_build,completions,1776123872.9306622,1776123918.920273,45989.61,45989.61,14953,0,226,0,0,
am148p0tvh,queue-pressure,queue_build,completions,1776123906.9192977,1776123952.9193964,46000.10,46000.10,11951,0,314,0,0,
37d4ivsolm,queue-pressure,queue_build,completions,1776123997.9197571,1776124043.9206703,46000.91,46000.91,15269,0,309,0,0,
uzzpqk51fp,queue-pressure,warmup,completions,1776123833.341754,1776123878.919769,45578.02,45578.02,12583,0,198,0,0,
utoxie0rnu,queue-pressure,pressure_peak,completions,1776124031.920898,1776124077.9240267,46003.13,46003.13,14163,0,211,0,0,
zlaoi4e8xf,queue-pressure,queue_build,completions,1776123934.9198651,1776123980.9199529,46000.09,46000.09,13373,0,253,0,0,
5wfcpkjcsl,queue-pressure,queue_build,completions,1776123999.9200666,1776124045.9204817,46000.42,46000.42,14953,0,274,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776123828.335798,1776123873.919945,45584.15,45584.15,13373,0,220,0,0,
ozroouelcq,queue-pressure,pressure_peak,completions,1776124043.9209013,1776124089.9203155,45999.41,45999.41,9897,0,271,0,0,
pbmyofqewa,queue-pressure,queue_build,completions,1776123907.9201953,1776123953.9203997,46000.20,46000.20,10845,0,261,0,0,
cwtg1m8xfd,queue-pressure,queue_build,completions,1776123997.9207408,1776124043.9204614,45999.72,45999.72,11635,0,235,0,0,
h1dnmmjbqe,queue-pressure,warmup,completions,1776123838.348498,1776123883.9204974,45572.00,45572.00,11319,0,231,0,0,
049enulqji,queue-pressure,pressure_peak,completions,1776124047.9221191,1776124093.9200518,45997.93,45997.93,11477,0,273,0,0,
