timestamp,num_requests_running,num_requests_waiting,avg_generation_throughput_toks_per_s,kv_cache_usage_perc,ready_replicas
1775837261.782666,,,,,1.0
1775837266.8947692,,,,,1.0
1775837272.033013,,,,,1.0
1775837277.1763308,,,,,1.0
1775837282.3118129,,,,,1.0
1775837287.4485502,,,,,1.0
1775837292.593829,,,,,1.0
1775837297.7528133,,,,,1.0
1775837302.9258232,,,,,1.0
1775837308.1553433,,,,,1.0
1775837313.3304172,,,,,1.0
1775837318.500041,,,,,1.0
1775837323.6748924,,,,,1.0
1775837328.8385108,,,,,1.0
1775837333.9984689,,,,,1.0
1775837339.2853527,,,,,
1775837344.6097758,,,,,
1775837349.7868137,,,,,
1775837354.9682393,,,,,
1775837360.1440895,,,,,
1775837365.3088086,,,,,
1775837370.4850929,,,,,1.0
1775837375.641526,,,,,1.0
1775837380.7944877,,,,,1.0
1775837385.9503424,,,,,1.0
1775837391.097524,,,,,1.0
1775837396.2634332,,,,,1.0
1775837401.4098246,,,,,1.0
1775837406.5734198,,,,,1.0
1775837411.724889,,,,,1.0
1775837416.88541,,,,,1.0
1775837422.0414891,,,,,1.0
1775837427.2094316,,,,,1.0
1775837432.3575733,,,,,1.0
1775837437.5222077,,,,,1.0
1775837442.6908257,,,,,1.0
1775837447.8372796,,,,,1.0
1775837452.9892209,,,,,1.0
1775837458.1388285,,,,,1.0
1775837463.2831128,,,,,1.0
1775837468.444048,,,,,1.0
1775837473.6043625,,,,,1.0
1775837478.7463102,,,,,1.0
1775837483.8875616,,,,,1.0
1775837489.043829,,,,,1.0
1775837494.1904705,,,,,1.0
1775837499.332327,,,,,1.0
1775837504.4565592,,,,,1.0
