request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
ptk93tyt7d,queue-pressure,queue_build,completions,1776123537.242944,1776123582.9194767,45676.53,45676.53,11319,0,232,0,0,
slh9bh811k,queue-pressure,queue_build,completions,1776123655.919393,1776123701.920933,46001.54,46001.54,13689,0,316,0,0,
c89k8yqk94,queue-pressure,queue_build,completions,1776123620.9194114,1776123666.9197004,46000.29,46000.29,13689,0,232,0,0,
39tex8fsv8,queue-pressure,queue_build,completions,1776123528.3430707,1776123573.9200926,45577.02,45577.02,14005,0,316,0,0,
otohp6vz41,queue-pressure,queue_build,completions,1776123570.921015,1776123616.9203854,45999.37,45999.37,9897,0,298,0,0,
qclpoxko8g,queue-pressure,queue_build,completions,1776123661.9194841,1776123707.9193382,45999.85,45999.85,12267,0,196,0,0,
92irmuq9e5,queue-pressure,pressure_peak,completions,1776123707.9195676,1776123753.9209614,46001.39,46001.39,11003,0,223,0,0,
qll8os9xto,queue-pressure,queue_build,completions,1776123590.9202404,1776123636.9207003,46000.46,46000.46,14163,0,201,0,0,
j60fkhmy4s,queue-pressure,queue_build,completions,1776123538.0541718,1776123583.9196227,45865.45,45865.45,14953,0,226,0,0,
am148p0tvh,queue-pressure,queue_build,completions,1776123571.921413,1776123617.9199777,45998.56,45998.56,11951,0,314,0,0,
37d4ivsolm,queue-pressure,queue_build,completions,1776123662.9211907,1776123708.919964,45998.77,45998.77,15269,0,309,0,0,
uzzpqk51fp,queue-pressure,warmup,completions,1776123498.4803002,1776123543.919393,45439.09,45439.09,12583,0,198,0,0,
zhwy9hecgz,queue-pressure,pressure_peak,completions,1776123701.9211662,1776123747.9239972,46002.83,46002.83,11161,0,258,0,0,
wrpbjek5rb,queue-pressure,queue_build,completions,1776123594.9200892,1776123640.919978,45999.89,45999.89,10687,0,284,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776123493.4718103,1776123538.9192314,45447.42,45447.42,13373,0,220,0,0,
utoxie0rnu,queue-pressure,pressure_peak,completions,1776123696.9202719,1776123742.9247088,46004.44,46004.44,14163,0,211,0,0,
ozroouelcq,queue-pressure,pressure_peak,completions,1776123708.9203112,1776123754.919947,45999.64,45999.64,9897,0,271,0,0,
pbmyofqewa,queue-pressure,queue_build,completions,1776123572.9193423,1776123618.919321,45999.98,45999.98,10845,0,261,0,0,
cwtg1m8xfd,queue-pressure,queue_build,completions,1776123662.9222023,1776123708.9200985,45997.90,45997.90,11635,0,235,0,0,
ckw5ngcx19,queue-pressure,warmup,completions,1776123508.4961557,1776123553.9199657,45423.81,45423.81,15111,0,288,0,0,
935a0l7253,queue-pressure,queue_build,completions,1776123541.2893806,1776123586.920254,45630.87,45630.87,14795,0,233,0,0,
wdxvugw6m7,queue-pressure,pressure_peak,completions,1776123710.9197428,1776123756.920014,46000.27,46000.27,13373,0,269,0,0,
zlaoi4e8xf,queue-pressure,queue_build,completions,1776123599.92012,1776123645.9202507,46000.13,46000.13,13373,0,253,0,0,
sj49itn7s5,queue-pressure,queue_build,completions,1776123604.9203842,1776123650.9206493,46000.27,46000.27,15269,0,266,0,0,
c56t4ufel6,queue-pressure,queue_build,completions,1776123539.6654856,1776123584.919753,45254.27,45254.27,9581,0,220,0,0,
w6xlpu0dk0,queue-pressure,queue_build,completions,1776123622.9197855,1776123668.9199822,46000.20,46000.20,14163,0,227,0,0,
jcat9mx2x1,queue-pressure,queue_build,completions,1776123574.9204288,1776123620.9191997,45998.77,45998.77,15427,0,299,0,0,
gf1c8wquuy,queue-pressure,queue_build,completions,1776123663.9195085,1776123709.9209254,46001.42,46001.42,11161,0,242,0,0,
yztkkfzzgn,queue-pressure,pressure_peak,completions,1776123706.9211838,1776123752.9214027,46000.22,46000.22,10055,0,273,0,0,
2oc6uzhr5x,queue-pressure,queue_build,completions,1776123523.4807734,1776123568.919401,45438.63,45438.63,14637,0,200,0,0,
qrl1n759in,queue-pressure,queue_build,completions,1776123614.9194987,1776123660.9191396,45999.64,45999.64,12583,0,230,0,0,
c3c54wsqt2,queue-pressure,queue_build,completions,1776123665.9200544,1776123711.920846,46000.79,46000.79,12267,0,201,0,0,
6hid25owf7,queue-pressure,queue_build,completions,1776123540.4767566,1776123585.919633,45442.88,45442.88,14479,0,202,0,0,
r2ykccprhv,queue-pressure,pressure_peak,completions,1776123712.920628,1776123758.9200072,45999.38,45999.38,13531,0,269,0,0,
zoyn6qicat,queue-pressure,queue_build,completions,1776123529.1545205,1776123574.9202063,45765.69,45765.69,15269,0,243,0,0,
hafeyuhz1g,queue-pressure,queue_build,completions,1776123575.9205031,1776123621.9199638,45999.46,45999.46,15269,0,255,0,0,
h1dnmmjbqe,queue-pressure,warmup,completions,1776123503.486602,1776123548.919883,45433.28,45433.28,11319,0,231,0,0,
b0z3nx39rb,queue-pressure,queue_build,completions,1776123615.9212487,1776123661.9192586,45998.01,45998.01,14795,0,297,0,0,
cxlvpymb5m,queue-pressure,pressure_peak,completions,1776123682.9205601,1776123728.921882,46001.32,46001.32,11477,0,218,0,0,
wxe6sylztg,queue-pressure,queue_build,completions,1776123545.335444,1776123590.9200053,45584.56,45584.56,13531,0,276,0,0,
2flu7u6n7h,queue-pressure,queue_build,completions,1776123575.9213982,1776123621.9201028,45998.70,45998.70,13215,0,221,0,0,
5wfcpkjcsl,queue-pressure,queue_build,completions,1776123664.91952,1776123710.9194844,45999.96,45999.96,14953,0,274,0,0,
q3xlrfcd6m,queue-pressure,queue_build,completions,1776123666.9199188,1776123712.9203875,46000.47,46000.47,14953,0,202,0,0,
f7i8skch8j,queue-pressure,pressure_peak,completions,1776123709.9210925,1776123755.920746,45999.65,45999.65,11477,0,234,0,0,
azccblskrt,queue-pressure,queue_build,completions,1776123529.9634814,1776123575.9201968,45956.72,45956.72,13215,0,248,0,0,
55psq0oxfq,queue-pressure,queue_build,completions,1776123616.9206135,1776123662.9209838,46000.37,46000.37,12583,0,276,0,0,
jza7tz0ync,queue-pressure,queue_build,completions,1776123544.525476,1776123589.91976,45394.28,45394.28,13057,0,240,0,0,
atqyyv37di,queue-pressure,queue_build,completions,1776123625.920454,1776123671.9203217,45999.87,45999.87,10055,0,293,0,0,
d14ve92mpn,queue-pressure,queue_build,completions,1776123576.9200065,1776123622.9195333,45999.53,45999.53,13215,0,254,0,0,
sgippsfnko,queue-pressure,queue_build,completions,1776123667.920281,1776123713.9206228,46000.34,46000.34,13847,0,213,0,0,
tiqj7yhl1c,queue-pressure,warmup,completions,1776123518.5173833,1776123563.9207358,45403.35,45403.35,13373,0,235,0,0,
2d54i3qk2i,queue-pressure,queue_build,completions,1776123542.0979166,1776123587.9201374,45822.22,45822.22,11161,0,232,0,0,
myx444nlz1,queue-pressure,queue_build,completions,1776123616.9215271,1776123662.920835,45999.31,45999.31,15427,0,259,0,0,
3y30ysxpnn,queue-pressure,queue_build,completions,1776123669.9215329,1776123715.91991,45998.38,45998.38,14321,0,276,0,0,
5nq4fmyzyc,queue-pressure,warmup,completions,1776123513.507005,1776123558.9197102,45412.71,45412.71,14795,0,251,0,0,
c81jhuwb6t,queue-pressure,pressure_peak,completions,1776123711.9210677,1776123757.9206877,45999.62,45999.62,9739,0,199,0,0,
knwi5flul1,queue-pressure,pressure_peak,completions,1776123713.9217565,1776123759.9202766,45998.52,45998.52,10213,0,204,0,0,
aprpn6qfgs,queue-pressure,queue_build,completions,1776123577.9202342,1776123623.9199598,45999.73,45999.73,12583,0,279,0,0,
irodxmo5bx,queue-pressure,queue_build,completions,1776123530.773865,1776123575.9203253,45146.46,45146.46,14005,0,313,0,0,
2xcdyk0x65,queue-pressure,queue_build,completions,1776123667.9212222,1776123713.920472,45999.25,45999.25,11635,0,205,0,0,
9yjb1qx6gv,queue-pressure,queue_build,completions,1776123588.9217036,1776123634.9198678,45998.16,45998.16,14637,0,197,0,0,
6hc36kof8k,queue-pressure,queue_build,completions,1776123625.9216661,1776123671.9201767,45998.51,45998.51,9739,0,275,0,0,
wiykid91zd,queue-pressure,queue_build,completions,1776123617.9201899,1776123663.9191968,45999.01,45999.01,14795,0,201,0,0,
okc1msy4la,queue-pressure,queue_build,completions,1776123542.9037652,1776123587.9199936,45016.23,45016.23,9739,0,241,0,0,
bi4q2y9v86,queue-pressure,queue_build,completions,1776123568.9196723,1776123614.919275,45999.60,45999.60,12741,0,310,0,0,
92h3tv3i12,queue-pressure,queue_build,completions,1776123629.9202118,1776123675.9206958,46000.48,46000.48,11635,0,254,0,0,
1uymrlrmjk,queue-pressure,queue_build,completions,1776123579.9205508,1776123625.9200242,45999.47,45999.47,12267,0,254,0,0,
